coefficient,value,model_domain,model_version
NE_MCAID_ORIGDIS_NEM90_94,2.199,CMS-HCC,C24
NE_MCAID_ORIGDIS_NEM95_GT,2.199,CMS-HCC,C24
CFA_D1,0,CMS-HCC,C24
CFA_D2,0,CMS-HCC,C24
CFA_D3,0,CMS-HCC,C24
CFA_D4,0,CMS-HCC,C24
CFA_D5,0,CMS-HCC,C24
CPA_D1,0,CMS-HCC,C24
CPA_D2,0,CMS-HCC,C24
CPA_D3,0,CMS-HCC,C24
CPA_D4,0,CMS-HCC,C24
CFD_D1,0,CMS-HCC,C24
CFD_D2,0,CMS-HCC,C24
CFD_D3,0,CMS-HCC,C24
CFD_D4,0,CMS-HCC,C24
CND_D1,0,CMS-HCC,C24
CND_D2,0,CMS-HCC,C24
CND_D3,0,CMS-HCC,C24
CND_D4,0,CMS-HCC,C24
CPD_D1,0,CMS-HCC,C24
CPD_D2,0,CMS-HCC,C24
CPD_D3,0,CMS-HCC,C24
CPD_D4,0,CMS-HCC,C24
CNA_F65_69,0.323,CMS-HCC,C24
CNA_F70_74,0.386,CMS-HCC,C24
CNA_F75_79,0.451,CMS-HCC,C24
CNA_F80_84,0.528,CMS-HCC,C24
CNA_F85_89,0.641,CMS-HCC,C24
CNA_F90_94,0.783,CMS-HCC,C24
CNA_F95_GT,0.787,CMS-HCC,C24
CNA_M65_69,0.308,CMS-HCC,C24
CNA_M70_74,0.394,CMS-HCC,C24
CNA_M75_79,0.473,CMS-HCC,C24
CNA_M80_84,0.556,CMS-HCC,C24
CNA_M85_89,0.686,CMS-HCC,C24
CNA_M90_94,0.841,CMS-HCC,C24
CNA_M95_GT,0.986,CMS-HCC,C24
CNA_OriginallyDisabled_Female,0.25,CMS-HCC,C24
CNA_OriginallyDisabled_Male,0.147,CMS-HCC,C24
CNA_HCC1,0.335,CMS-HCC,C24
CNA_HCC2,0.352,CMS-HCC,C24
CNA_HCC6,0.424,CMS-HCC,C24
CNA_HCC8,2.659,CMS-HCC,C24
CNA_HCC9,1.024,CMS-HCC,C24
CNA_HCC10,0.675,CMS-HCC,C24
CNA_HCC11,0.307,CMS-HCC,C24
CNA_HCC12,0.15,CMS-HCC,C24
CNA_HCC17,0.302,CMS-HCC,C24
CNA_HCC18,0.302,CMS-HCC,C24
CNA_HCC19,0.105,CMS-HCC,C24
CNA_HCC21,0.455,CMS-HCC,C24
CNA_HCC22,0.25,CMS-HCC,C24
CNA_HCC23,0.194,CMS-HCC,C24
CNA_HCC27,0.882,CMS-HCC,C24
CNA_HCC28,0.363,CMS-HCC,C24
CNA_HCC29,0.147,CMS-HCC,C24
CNA_HCC33,0.219,CMS-HCC,C24
CNA_HCC34,0.287,CMS-HCC,C24
CNA_HCC35,0.308,CMS-HCC,C24
CNA_HCC39,0.401,CMS-HCC,C24
CNA_HCC40,0.421,CMS-HCC,C24
CNA_HCC46,1.372,CMS-HCC,C24
CNA_HCC47,0.665,CMS-HCC,C24
CNA_HCC48,0.192,CMS-HCC,C24
CNA_HCC54,0.329,CMS-HCC,C24
CNA_HCC55,0.329,CMS-HCC,C24
CNA_HCC56,0.329,CMS-HCC,C24
CNA_HCC57,0.524,CMS-HCC,C24
CNA_HCC58,0.393,CMS-HCC,C24
CNA_HCC59,0.309,CMS-HCC,C24
CNA_HCC60,0.309,CMS-HCC,C24
CNA_HCC70,1.242,CMS-HCC,C24
CNA_HCC71,1.068,CMS-HCC,C24
CNA_HCC72,0.481,CMS-HCC,C24
CNA_HCC73,0.999,CMS-HCC,C24
CNA_HCC74,0.339,CMS-HCC,C24
CNA_HCC75,0.472,CMS-HCC,C24
CNA_HCC76,0.518,CMS-HCC,C24
CNA_HCC77,0.423,CMS-HCC,C24
CNA_HCC78,0.606,CMS-HCC,C24
CNA_HCC79,0.22,CMS-HCC,C24
ActAdj_DUR4_9,0.905,ESRD,D24
ActAdj_DUR10PL,0.698,ESRD,D24
DI_F0_34,0.644,ESRD,D24
DI_F35_44,0.63,ESRD,D24
DI_F45_54,0.564,ESRD,D24
DI_F55_59,0.57,ESRD,D24
DI_F60_64,0.569,ESRD,D24
DI_F65_69,0.63,ESRD,D24
DI_F70_74,0.624,ESRD,D24
DI_F75_79,0.617,ESRD,D24
DI_F80_84,0.661,ESRD,D24
DI_F85_89,0.629,ESRD,D24
DI_F90_94,0.629,ESRD,D24
DI_F95_GT,0.629,ESRD,D24
DI_M0_34,0.616,ESRD,D24
DI_M35_44,0.604,ESRD,D24
DI_M45_54,0.551,ESRD,D24
DI_M55_59,0.557,ESRD,D24
DI_M60_64,0.569,ESRD,D24
DI_M65_69,0.577,ESRD,D24
DI_M70_74,0.551,ESRD,D24
DI_M75_79,0.601,ESRD,D24
DI_M80_84,0.635,ESRD,D24
DI_M85_89,0.635,ESRD,D24
DI_M90_94,0.635,ESRD,D24
DI_M95_GT,0.635,ESRD,D24
DI_FBDual_Female_Aged,0.06,ESRD,D24
DI_FBDual_Female_NonAged,0.082,ESRD,D24
DI_FBDual_Male_Aged,0.128,ESRD,D24
DI_FBDual_Male_NonAged,0.076,ESRD,D24
DI_PBDual_Female_Aged,0,ESRD,D24
DI_PBDual_Female_NonAged,0,ESRD,D24
DI_PBDual_Male_Aged,0,ESRD,D24
DI_PBDual_Male_NonAged,0,ESRD,D24
DI_OriginallyDisabled_Female,0.024,ESRD,D24
DI_OriginallyDisabled_Male,0,ESRD,D24
DI_Originally_ESRD_Female,-0.024,ESRD,D24
DI_Originally_ESRD_Male,0.017,ESRD,D24
DI_LTI_Aged,0.02,ESRD,D24
DI_LTI_NonAged,0.098,ESRD,D24
DI_HCC1,0.122,ESRD,D24
DI_HCC2,0.087,ESRD,D24
DI_HCC6,0.076,ESRD,D24
DI_HCC8,0.353,ESRD,D24
DI_HCC9,0.181,ESRD,D24
DI_HCC10,0.111,ESRD,D24
DI_HCC11,0.059,ESRD,D24
DI_HCC12,0.045,ESRD,D24
DI_HCC17,0.084,ESRD,D24
DI_HCC18,0.084,ESRD,D24
DI_HCC19,0.084,ESRD,D24
DI_HCC21,0.068,ESRD,D24
DI_HCC22,0.081,ESRD,D24
DI_HCC23,0.036,ESRD,D24
DI_HCC27,0.196,ESRD,D24
DI_HCC28,0.069,ESRD,D24
DI_HCC29,0.061,ESRD,D24
DI_HCC33,0.078,ESRD,D24
DI_HCC34,0.068,ESRD,D24
DI_HCC35,0.048,ESRD,D24
DI_HCC39,0.092,ESRD,D24
DI_HCC40,0.058,ESRD,D24
DI_HCC46,0.223,ESRD,D24
DI_HCC47,0.078,ESRD,D24
DI_HCC48,0.063,ESRD,D24
DI_HCC51,0.042,ESRD,D24
DI_HCC52,0.042,ESRD,D24
DI_HCC54,0.111,ESRD,D24
DI_HCC55,0.111,ESRD,D24
DI_HCC56,0.111,ESRD,D24
DI_HCC57,0.111,ESRD,D24
DI_HCC58,0.111,ESRD,D24
DI_HCC59,0.066,ESRD,D24
DI_HCC60,0.066,ESRD,D24
DI_HCC70,0.185,ESRD,D24
DI_HCC71,0.151,ESRD,D24
DI_HCC72,0.099,ESRD,D24
DI_HCC73,0.213,ESRD,D24
DI_HCC74,0.057,ESRD,D24
DI_HCC75,0.074,ESRD,D24
DI_HCC76,0.136,ESRD,D24
DI_HCC77,0.111,ESRD,D24
DI_HCC78,0.079,ESRD,D24
DI_HCC79,0.053,ESRD,D24
DI_HCC80,0.076,ESRD,D24
DI_HCC82,0.161,ESRD,D24
DI_HCC83,0.112,ESRD,D24
DI_HCC84,0.061,ESRD,D24
DI_HCC85,0.063,ESRD,D24
DI_HCC86,0.151,ESRD,D24
DI_HCC87,0.12,ESRD,D24
DI_HCC88,0.043,ESRD,D24
DI_HCC96,0.049,ESRD,D24
DI_HCC99,0.062,ESRD,D24
DI_HCC100,0.062,ESRD,D24
DI_HCC103,0.071,ESRD,D24
DI_HCC104,0.047,ESRD,D24
DI_HCC106,0.358,ESRD,D24
DI_HCC107,0.144,ESRD,D24
DI_HCC108,0.073,ESRD,D24
DI_HCC110,0.125,ESRD,D24
DI_HCC111,0.058,ESRD,D24
DI_HCC112,0.058,ESRD,D24
DI_HCC114,0.09,ESRD,D24
DI_HCC115,0.03,ESRD,D24
DI_HCC122,0.006,ESRD,D24
DI_HCC124,0.057,ESRD,D24
DI_HCC134,0,ESRD,D24
DI_HCC135,0,ESRD,D24
DI_HCC136,0,ESRD,D24
DI_HCC137,0,ESRD,D24
DI_HCC138,0,ESRD,D24
DI_HCC157,0.219,ESRD,D24
DI_HCC158,0.158,ESRD,D24
DI_HCC159,0.127,ESRD,D24
DI_HCC161,0.127,ESRD,D24
DI_HCC162,0.155,ESRD,D24
DI_HCC166,0.076,ESRD,D24
DI_HCC167,0.043,ESRD,D24
DI_HCC169,0.099,ESRD,D24
DI_HCC170,0.063,ESRD,D24
DI_HCC173,0.05,ESRD,D24
DI_HCC176,0,ESRD,D24
DI_HCC186,0.138,ESRD,D24
DI_HCC188,0.087,ESRD,D24
DI_HCC189,0.081,ESRD,D24
DI_HCC47_gCancer,0.048,ESRD,D24
DI_DIABETES_CHF,0,ESRD,D24
DI_CHF_gCopdCF,0.003,ESRD,D24
DI_HCC85_gRenal_V24,0,ESRD,D24
DI_gCopdCF_CARD_RESP_FAIL,0.029,ESRD,D24
DI_HCC85_HCC96,0.05,ESRD,D24
DI_NONAGED_gSubUseDs_gPsych,0.055,ESRD,D24
DI_NONAGED_HCC6,0.043,ESRD,D24
DI_NONAGED_HCC34,0.128,ESRD,D24
DI_NONAGED_HCC46,0.22,ESRD,D24
DI_NONAGED_HCC110,0.657,ESRD,D24
DI_NONAGED_HCC176,0.041,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEF0_34,0.76,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEF35_44,0.747,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEF45_54,0.741,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEF55_59,0.728,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEF60_64,0.768,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEF65_69,0.936,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEF70_74,0.963,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEF75_79,0.963,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEF80_84,0.991,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEF85_GT,0.963,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEM0_34,0.72,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEM35_44,0.708,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEM45_54,0.69,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEM55_59,0.718,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEM60_64,0.755,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEM65_69,0.891,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEM70_74,0.868,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEM75_79,0.937,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEM80_84,0.982,ESRD,D24
DNE_ND_PBD_NORIGDIS_NEM85_GT,0.978,ESRD,D24
DNE_FBD_NORIGDIS_NEF0_34,0.981,ESRD,D24
DNE_FBD_NORIGDIS_NEF35_44,0.944,ESRD,D24
DNE_FBD_NORIGDIS_NEF45_54,0.869,ESRD,D24
DNE_FBD_NORIGDIS_NEF55_59,0.892,ESRD,D24
DNE_FBD_NORIGDIS_NEF60_64,0.892,ESRD,D24
DNE_FBD_NORIGDIS_NEF65_69,1.094,ESRD,D24
DNE_FBD_NORIGDIS_NEF70_74,1.102,ESRD,D24
DNE_FBD_NORIGDIS_NEF75_79,1.142,ESRD,D24
DNE_FBD_NORIGDIS_NEF80_84,1.189,ESRD,D24
DNE_FBD_NORIGDIS_NEF85_GT,1.154,ESRD,D24
DNE_FBD_NORIGDIS_NEM0_34,0.883,ESRD,D24
DNE_FBD_NORIGDIS_NEM35_44,0.883,ESRD,D24
DNE_FBD_NORIGDIS_NEM45_54,0.827,ESRD,D24
DNE_FBD_NORIGDIS_NEM55_59,0.862,ESRD,D24
DNE_FBD_NORIGDIS_NEM60_64,0.881,ESRD,D24
DNE_FBD_NORIGDIS_NEM65_69,1.121,ESRD,D24
DNE_FBD_NORIGDIS_NEM70_74,1.082,ESRD,D24
DNE_FBD_NORIGDIS_NEM75_79,1.171,ESRD,D24
DNE_FBD_NORIGDIS_NEM80_84,1.181,ESRD,D24
DNE_FBD_NORIGDIS_NEM85_GT,1.181,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEF0_34,0.938,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEF35_44,0.938,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEF45_54,0.938,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEF55_59,0.938,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEF60_64,0.938,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEF65_69,1.049,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEF70_74,1.036,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEF75_79,1.018,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEF80_84,1.018,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEF85_GT,1.018,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEM0_34,0.944,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEM35_44,0.944,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEM45_54,0.851,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEM55_59,0.847,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEM60_64,0.859,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEM65_69,0.921,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEM70_74,0.902,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEM75_79,1.004,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEM80_84,1.004,ESRD,D24
DNE_ND_PBD_ORIGDIS_NEM85_GT,1.004,ESRD,D24
DNE_FBD_ORIGDIS_NEF0_34,1.207,ESRD,D24
DNE_FBD_ORIGDIS_NEF35_44,1.207,ESRD,D24
DNE_FBD_ORIGDIS_NEF45_54,1.118,ESRD,D24
DNE_FBD_ORIGDIS_NEF55_59,1.118,ESRD,D24
DNE_FBD_ORIGDIS_NEF60_64,1.118,ESRD,D24
DNE_FBD_ORIGDIS_NEF65_69,1.217,ESRD,D24
DNE_FBD_ORIGDIS_NEF70_74,1.196,ESRD,D24
DNE_FBD_ORIGDIS_NEF75_79,1.196,ESRD,D24
DNE_FBD_ORIGDIS_NEF80_84,1.196,ESRD,D24
DNE_FBD_ORIGDIS_NEF85_GT,1.196,ESRD,D24
DNE_FBD_ORIGDIS_NEM0_34,1.074,ESRD,D24
DNE_FBD_ORIGDIS_NEM35_44,1.074,ESRD,D24
DNE_FBD_ORIGDIS_NEM45_54,1.074,ESRD,D24
DNE_FBD_ORIGDIS_NEM55_59,1.096,ESRD,D24
DNE_FBD_ORIGDIS_NEM60_64,1.126,ESRD,D24
DNE_FBD_ORIGDIS_NEM65_69,1.258,ESRD,D24
DNE_FBD_ORIGDIS_NEM70_74,1.258,ESRD,D24
DNE_FBD_ORIGDIS_NEM75_79,1.258,ESRD,D24
DNE_FBD_ORIGDIS_NEM80_84,1.258,ESRD,D24
DNE_FBD_ORIGDIS_NEM85_GT,1.258,ESRD,D24
GNPA_F65_69,0.301,ESRD,D24
GNPA_F70_74,0.359,ESRD,D24
GNPA_F75_79,0.42,ESRD,D24
GNPA_F80_84,0.474,ESRD,D24
GNPA_F85_89,0.57,ESRD,D24
GNPA_F90_94,0.678,ESRD,D24
GNPA_F95_GT,0.686,ESRD,D24
GNPA_M65_69,0.303,ESRD,D24
GNPA_M70_74,0.358,ESRD,D24
GNPA_M75_79,0.451,ESRD,D24
GNPA_M80_84,0.512,ESRD,D24
GNPA_M85_89,0.599,ESRD,D24
GNPA_M90_94,0.73,ESRD,D24
GNPA_M95_GT,0.825,ESRD,D24
GNPA_OriginallyDisabled_Female,0.219,ESRD,D24
GNPA_OriginallyDisabled_Male,0.125,ESRD,D24
GNPA_HCC1,0.292,ESRD,D24
GNPA_HCC2,0.324,ESRD,D24
GNPA_HCC6,0.364,ESRD,D24
GNPA_HCC8,3.057,ESRD,D24
GNPA_HCC9,1.226,ESRD,D24
GNPA_HCC10,0.608,ESRD,D24
GNPA_HCC11,0.312,ESRD,D24
GNPA_HCC12,0.162,ESRD,D24
GNPA_HCC17,0.219,ESRD,D24
GNPA_HCC18,0.219,ESRD,D24
GNPA_HCC19,0.073,ESRD,D24
GNPA_HCC21,0.549,ESRD,D24
GNPA_HCC22,0.171,ESRD,D24
GNPA_HCC23,0.217,ESRD,D24
GNPA_HCC27,0.886,ESRD,D24
GNPA_HCC28,0.34,ESRD,D24
GNPA_HCC29,0.146,ESRD,D24
GNPA_HCC33,0.25,ESRD,D24
GNPA_HCC34,0.318,ESRD,D24
GNPA_HCC35,0.35,ESRD,D24
GNPA_HCC39,0.431,ESRD,D24
GNPA_HCC40,0.414,ESRD,D24
GNPA_HCC46,1.346,ESRD,D24
GNPA_HCC47,0.64,ESRD,D24
GNPA_HCC48,0.192,ESRD,D24
GNPA_HCC51,0.314,ESRD,D24
GNPA_HCC52,0.314,ESRD,D24
GNPA_HCC54,0.274,ESRD,D24
GNPA_HCC55,0.274,ESRD,D24
GNPA_HCC56,0.274,ESRD,D24
GNPA_HCC57,0.507,ESRD,D24
GNPA_HCC58,0.507,ESRD,D24
GNPA_HCC59,0.225,ESRD,D24
GNPA_HCC60,0.225,ESRD,D24
GNPA_HCC70,1.126,ESRD,D24
GNPA_HCC71,0.925,ESRD,D24
GNPA_HCC72,0.495,ESRD,D24
GNPA_HCC73,1.256,ESRD,D24
GNPA_HCC74,0.226,ESRD,D24
GNPA_HCC75,0.573,ESRD,D24
GNPA_HCC76,0.471,ESRD,D24
GNPA_HCC77,0.621,ESRD,D24
GNPA_HCC78,0.588,ESRD,D24
GNPA_HCC79,0.249,ESRD,D24
GNPA_HCC80,0.542,ESRD,D24
GNPA_HCC82,0.83,ESRD,D24
GNPA_HCC83,0.449,ESRD,D24
GNPA_HCC84,0.293,ESRD,D24
GNPA_HCC85,0.251,ESRD,D24
GNPA_HCC86,0.219,ESRD,D24
GNPA_HCC87,0.209,ESRD,D24
GNPA_HCC88,0.136,ESRD,D24
GNPA_HCC96,0.252,ESRD,D24
GNPA_HCC99,0.219,ESRD,D24
GNPA_HCC100,0.219,ESRD,D24
GNPA_HCC103,0.388,ESRD,D24
GNPA_HCC104,0.311,ESRD,D24
GNPA_HCC106,1.344,ESRD,D24
GNPA_HCC107,0.348,ESRD,D24
GNPA_HCC108,0.257,ESRD,D24
GNPA_HCC110,0.919,ESRD,D24
GNPA_HCC111,0.291,ESRD,D24
GNPA_HCC112,0.201,ESRD,D24
GNPA_HCC114,0.486,ESRD,D24
GNPA_HCC115,0.205,ESRD,D24
GNPA_HCC122,0.321,ESRD,D24
GNPA_HCC124,0.601,ESRD,D24
GNPA_HCC134,0,ESRD,D24
GNPA_HCC135,0,ESRD,D24
GNPA_HCC136,0,ESRD,D24
GNPA_HCC137,0,ESRD,D24
GNPA_HCC138,0,ESRD,D24
GNPA_HCC157,1.833,ESRD,D24
GNPA_HCC158,1.038,ESRD,D24
GNPA_HCC159,0.795,ESRD,D24
GNPA_HCC161,0.582,ESRD,D24
GNPA_HCC162,0.503,ESRD,D24
GNPA_HCC166,0.542,ESRD,D24
GNPA_HCC167,0.162,ESRD,D24
GNPA_HCC169,0.475,ESRD,D24
GNPA_HCC170,0.358,ESRD,D24
GNPA_HCC173,0.16,ESRD,D24
GNPA_HCC176,0.61,ESRD,D24
GNPA_HCC186,0,ESRD,D24
GNPA_HCC188,0.558,ESRD,D24
GNPA_HCC189,0.52,ESRD,D24
GNPA_HCC47_gCancer,0.78,ESRD,D24
GNPA_DIABETES_CHF,0.132,ESRD,D24
GNPA_CHF_gCopdCF,0.134,ESRD,D24
GNPA_HCC85_gRenal_V24,0,ESRD,D24
GNPA_gCopdCF_CARD_RESP_FAIL,0.333,ESRD,D24
GNPA_HCC85_HCC96,0.109,ESRD,D24
FGC_GE65_DUR4_9_ND_PBD,2.529,ESRD,D24
FGC_GE65_DUR10PL_ND_PBD,0.905,ESRD,D24
FGC_PBD_GE65_flag,0.162,ESRD,D24
GNPN_F0_34,0.198,ESRD,D24
GNPN_F35_44,0.25,ESRD,D24
GNPN_F45_54,0.292,ESRD,D24
GNPN_F55_59,0.329,ESRD,D24
GNPN_F60_64,0.373,ESRD,D24
GNPN_M0_34,0.102,ESRD,D24
GNPN_M35_44,0.155,ESRD,D24
GNPN_M45_54,0.197,ESRD,D24
GNPN_M55_59,0.249,ESRD,D24
GNPN_M60_64,0.298,ESRD,D24
GNPN_HCC1,0.331,ESRD,D24
GNPN_HCC2,0.411,ESRD,D24
GNPN_HCC6,0.688,ESRD,D24
GNPN_HCC8,3.058,ESRD,D24
GNPN_HCC9,1.075,ESRD,D24
GNPN_HCC10,0.595,ESRD,D24
GNPN_HCC11,0.257,ESRD,D24
GNPN_HCC12,0.189,ESRD,D24
GNPN_HCC17,0.241,ESRD,D24
GNPN_HCC18,0.241,ESRD,D24
GNPN_HCC19,0.083,ESRD,D24
GNPN_HCC21,0.87,ESRD,D24
GNPN_HCC22,0.141,ESRD,D24
GNPN_HCC23,0.39,ESRD,D24
GNPN_HCC27,0.92,ESRD,D24
GNPN_HCC28,0.342,ESRD,D24
GNPN_HCC29,0.342,ESRD,D24
GNPN_HCC33,0.474,ESRD,D24
GNPN_HCC34,0.543,ESRD,D24
GNPN_HCC35,0.469,ESRD,D24
GNPN_HCC39,0.44,ESRD,D24
GNPN_HCC40,0.353,ESRD,D24
GNPN_HCC46,4.064,ESRD,D24
GNPN_HCC47,0.803,ESRD,D24
GNPN_HCC48,0.319,ESRD,D24
GNPN_HCC51,0.282,ESRD,D24
GNPN_HCC52,0.282,ESRD,D24
GNPN_HCC54,0.521,ESRD,D24
GNPN_HCC55,0.256,ESRD,D24
GNPN_HCC56,0.169,ESRD,D24
GNPN_HCC57,0.372,ESRD,D24
GNPN_HCC58,0.295,ESRD,D24
GNPN_HCC59,0.145,ESRD,D24
GNPN_HCC60,0.145,ESRD,D24
GNPN_HCC70,0.906,ESRD,D24
GNPN_HCC71,0.605,ESRD,D24
GNPN_HCC72,0.456,ESRD,D24
GNPN_HCC73,1.4,ESRD,D24
GNPN_HCC74,0.094,ESRD,D24
GNPN_HCC75,0.599,ESRD,D24
GNPN_HCC76,0.745,ESRD,D24
GNPN_HCC77,0.876,ESRD,D24
GNPN_HCC78,0.457,ESRD,D24
GNPN_HCC79,0.195,ESRD,D24
GNPN_HCC80,0.277,ESRD,D24
GNPN_HCC82,0.946,ESRD,D24
GNPN_HCC83,0.496,ESRD,D24
GNPN_HCC84,0.496,ESRD,D24
GNPN_HCC85,0.273,ESRD,D24
GNPN_HCC86,0.252,ESRD,D24
GNPN_HCC87,0.241,ESRD,D24
GNPN_HCC88,0.135,ESRD,D24
GNPN_HCC96,0.269,ESRD,D24
GNPN_HCC99,0.194,ESRD,D24
GNPN_HCC100,0.181,ESRD,D24
GNPN_HCC103,0.331,ESRD,D24
GNPN_HCC104,0.162,ESRD,D24
GNPN_HCC106,1.397,ESRD,D24
GNPN_HCC107,0.436,ESRD,D24
GNPN_HCC108,0.273,ESRD,D24
GNPN_HCC110,2.244,ESRD,D24
GNPN_HCC111,0.187,ESRD,D24
GNPN_HCC112,0.187,ESRD,D24
GNPN_HCC114,0.428,ESRD,D24
GNPN_HCC115,0.154,ESRD,D24
GNPN_HCC122,0.333,ESRD,D24
GNPN_HCC124,0.379,ESRD,D24
GNPN_HCC134,0,ESRD,D24
GNPN_HCC135,0,ESRD,D24
GNPN_HCC136,0,ESRD,D24
GNPN_HCC137,0,ESRD,D24
GNPN_HCC138,0,ESRD,D24
GNPN_HCC157,1.97,ESRD,D24
GNPN_HCC158,1.076,ESRD,D24
GNPN_HCC159,0.946,ESRD,D24
GNPN_HCC161,0.65,ESRD,D24
GNPN_HCC162,0.142,ESRD,D24
GNPN_HCC166,0.277,ESRD,D24
GNPN_HCC167,0.1,ESRD,D24
GNPN_HCC169,0.456,ESRD,D24
GNPN_HCC170,0.407,ESRD,D24
GNPN_HCC173,0.082,ESRD,D24
GNPN_HCC176,0.9,ESRD,D24
GNPN_HCC186,0,ESRD,D24
GNPN_HCC188,0.772,ESRD,D24
GNPN_HCC189,0.525,ESRD,D24
GNPN_HCC47_gCancer,0.654,ESRD,D24
GNPN_DIABETES_CHF,0.112,ESRD,D24
GNPN_CHF_gCopdCF,0.154,ESRD,D24
GNPN_HCC85_gRenal_V24,0,ESRD,D24
GNPN_gCopdCF_CARD_RESP_FAIL,0.326,ESRD,D24
GNPN_HCC85_HCC96,0.308,ESRD,D24
GNPN_gSubUseDs_gPsych_V24,0.122,ESRD,D24
FGC_LT65_DUR4_9_ND_PBD,1.737,ESRD,D24
FGC_LT65_DUR10PL_ND_PBD,0.335,ESRD,D24
FGC_PBD_LT65_flag,0.141,ESRD,D24
GFA_F65_69,0.402,ESRD,D24
GFA_F70_74,0.464,ESRD,D24
GFA_F75_79,0.545,ESRD,D24
GFA_F80_84,0.608,ESRD,D24
GFA_F85_89,0.714,ESRD,D24
GFA_F90_94,0.803,ESRD,D24
GFA_F95_GT,0.804,ESRD,D24
GFA_M65_69,0.486,ESRD,D24
GFA_M70_74,0.57,ESRD,D24
GFA_M75_79,0.646,ESRD,D24
GFA_M80_84,0.714,ESRD,D24
GFA_M85_89,0.825,ESRD,D24
GFA_M90_94,0.906,ESRD,D24
GFA_M95_GT,0.965,ESRD,D24
GFA_OriginallyDisabled_Female,0.143,ESRD,D24
GFA_OriginallyDisabled_Male,0.136,ESRD,D24
GFA_HCC1,0.381,ESRD,D24
GFA_HCC2,0.396,ESRD,D24
GFA_HCC6,0.53,ESRD,D24
GFA_HCC8,2.932,ESRD,D24
GFA_HCC9,1.179,ESRD,D24
GFA_HCC10,0.628,ESRD,D24
GFA_HCC11,0.325,ESRD,D24
GFA_HCC12,0.17,ESRD,D24
GFA_HCC17,0.233,ESRD,D24
GFA_HCC18,0.233,ESRD,D24
GFA_HCC19,0.051,ESRD,D24
GFA_HCC21,0.712,ESRD,D24
GFA_HCC22,0.292,ESRD,D24
GFA_HCC23,0.246,ESRD,D24
GFA_HCC27,0.985,ESRD,D24
GFA_HCC28,0.414,ESRD,D24
GFA_HCC29,0.059,ESRD,D24
GFA_HCC33,0.254,ESRD,D24
GFA_HCC34,0.419,ESRD,D24
GFA_HCC35,0.286,ESRD,D24
GFA_HCC39,0.578,ESRD,D24
GFA_HCC40,0.313,ESRD,D24
GFA_HCC46,1.361,ESRD,D24
GFA_HCC47,0.539,ESRD,D24
GFA_HCC48,0.24,ESRD,D24
GFA_HCC51,0.399,ESRD,D24
GFA_HCC52,0.399,ESRD,D24
GFA_HCC54,0.416,ESRD,D24
GFA_HCC55,0.416,ESRD,D24
GFA_HCC56,0.416,ESRD,D24
GFA_HCC57,0.572,ESRD,D24
GFA_HCC58,0.572,ESRD,D24
GFA_HCC59,0.259,ESRD,D24
GFA_HCC60,0.131,ESRD,D24
GFA_HCC70,0.964,ESRD,D24
GFA_HCC71,0.786,ESRD,D24
GFA_HCC72,0.523,ESRD,D24
GFA_HCC73,1.57,ESRD,D24
GFA_HCC74,0,ESRD,D24
GFA_HCC75,0.43,ESRD,D24
GFA_HCC76,0.381,ESRD,D24
GFA_HCC77,0.749,ESRD,D24
GFA_HCC78,0.608,ESRD,D24
GFA_HCC79,0.223,ESRD,D24
GFA_HCC80,0.679,ESRD,D24
